dt_iso,temp,pressure,humidity,wind_speed,wind_deg,rain_1h,snow_1h,clouds_all,leftovers
2017-01-01 0:00:00,256.73,1018,81,2,160,0,0,20,0
2017-01-01 1:00:00,257.02,1018,81,2,160,0,0,20,0
2017-01-01 2:00:00,260.24,1017,75,3.9,198,0,0,50,0
2017-01-01 3:00:00,259.85,1017,68,3,210,0,0,63,0
2017-01-01 4:00:00,259.72,1017,68,3,210,0,0,76,0
2017-01-01 5:00:00,261.52,1016,69,2.98,195,0,0,86,0
2017-01-01 6:00:00,261.75,1017,64,2,200,0,0,1,0
2017-01-01 7:00:00,261.79,1017,64,2,200,0,0,1,0
2017-01-01 8:00:00,256.94,1017,84,2.12,193,0,0,51,0
2017-01-01 9:00:00,255.81,1017,82,1,170,0,0,1,0
2017-01-01 10:00:00,254.11,1017,82,1,170,0,0,1,0
2017-01-01 11:00:00,254.58,1016,83,2.22,191,0,0,4,0
2017-01-01 12:00:00,253.95,1017,80,0,0,0,0,1,0
2017-01-01 13:00:00,254.05,1017,80,0,0,0,0,1,0
2017-01-01 14:00:00,253.91,1016,86,2.38,183,0,0,3,0
2017-01-01 15:00:00,252.45,1016,78,0,0,0,0,1,0
2017-01-01 16:00:00,252.65,1016,78,0,0,0,0,1,0
2017-01-01 17:00:00,252.22,1016,88,2.48,185,0,0,13,0
2017-01-01 18:00:00,250.83,1016,76,0,0,0,0,20,0
2017-01-01 19:00:00,250.62,1016,76,0,0,0,0,20,0
2017-01-01 20:00:00,251.58,1015,88,2.18,182,0,0,27,0
2017-01-01 21:00:00,252.17,1015,78,0,0,0,0,90,0
2017-01-01 22:00:00,251.52,1015,78,0,0,0,0,90,0
2017-01-01 23:00:00,252.6,1015,89,2.4,188,0,0,65,0
2017-01-02 0:00:00,253.15,1016,81,0,0,0,0,90,0
2017-01-02 1:00:00,253.46,1016,81,0,0,0,0,90,0
2017-01-02 2:00:00,259.09,1015,82,1.73,179,0,0,76,0
2017-01-02 3:00:00,258.63,1015,84,1,210,0,0,90,0
2017-01-02 4:00:00,258.38,1015,84,1,210,0,0,90,0
2017-01-02 5:00:00,260.29,1015,77,1.42,186,0,0,85,0
2017-01-02 6:00:00,260.06,1015,78,1,240,0,0,40,0
2017-01-02 7:00:00,260.11,1015,78,1,240,0,0,40,0
2017-01-02 8:00:00,255.14,1017,87,1.57,198,0,0,83,0
2017-01-02 9:00:00,254.9,1017,82,0,0,0,0,1,0
2017-01-02 10:00:00,253.67,1017,82,0,0,0,0,1,0
2017-01-02 11:00:00,253.01,1017,88,2.04,231,0,0,7,0
2017-01-02 12:00:00,252.45,1017,78,0,0,0,0,1,0
2017-01-02 13:00:00,251.91,1017,78,0,0,0,0,1,0
2017-01-02 14:00:00,248.61,1017,93,2.37,188,0,0,11,0
2017-01-02 15:00:00,248.47,1018,76,1,140,0,0,1,0
2017-01-02 16:00:00,248.65,1018,76,1,140,0,0,1,0
2017-01-02 17:00:00,249.54,1018,89,2.31,187,0,0,47,0
2017-01-02 18:00:00,249.74,1018,75,0,0,0,0,90,0
2017-01-02 19:00:00,249.9,1018,75,0,0,0,0,90,0
2017-01-02 20:00:00,249.92,1018,85,2.53,178,0,0,92,0
2017-01-02 21:00:00,250.58,1018,78,0,0,0,0,90,0
2017-01-02 22:00:00,250.62,1018,78,0,0,0,0,90,0
2017-01-02 23:00:00,250.8,1019,85,2.48,179,0,0,99,0
2017-01-03 0:00:00,251.16,1019,79,1,160,0,0,90,0
2017-01-03 1:00:00,252.3,1019,79,1,160,0,0,90,0
2017-01-03 2:00:00,256.6,1018,80,2.79,187,0,0,100,0
2017-01-03 3:00:00,256.23,1018,82,2,180,0,0,90,0
2017-01-03 4:00:00,255.82,1018,82,2,180,0,0,90,0
2017-01-03 5:00:00,257.54,1018,77,2.54,189,0,0,100,0
2017-01-03 6:00:00,257.66,1017,79,1,160,0,0,90,0
2017-01-03 7:00:00,257.74,1017,79,1,160,0,0,90,0
2017-01-03 8:00:00,250.79,1018,89,1.85,206,0,0,92,0
2017-01-03 9:00:00,251.46,1018,83,0,0,0,0,1,0
2017-01-03 10:00:00,249.31,1018,83,0,0,0,0,1,0
2017-01-03 11:00:00,249.28,1019,88,2.14,195,0,0,76,0
2017-01-03 12:00:00,249.28,1018,77,0,0,0,0,1,0
2017-01-03 13:00:00,249.89,1018,77,0,0,0,0,1,0
2017-01-03 14:00:00,249.35,1019,88,1.87,176,0,0,83,0
2017-01-03 15:00:00,249.38,1019,76,0,0,0,0,1,0
2017-01-03 16:00:00,249.9,1019,76,0,0,0,0,1,0
2017-01-03 17:00:00,249.28,1020,88,0.95,161,0,0,86,0
2017-01-03 18:00:00,249.4,1019,74,0,0,0,0,20,0
2017-01-03 19:00:00,248.96,1019,74,0,0,0,0,20,0
2017-01-03 20:00:00,248.59,1020,92,0.37,81,0,0,99,0
2017-01-03 21:00:00,248.31,1020,74,0,0,0,0,20,0
2017-01-03 22:00:00,249.34,1020,74,0,0,0,0,20,0
2017-01-03 23:00:00,248.92,1021,86,0.88,22,0,0,100,0
2017-01-04 0:00:00,248.72,1022,76,0,0,0,0,85,0
2017-01-04 1:00:00,249.36,1022,76,0,0,0,0,89,0
2017-01-04 2:00:00,254.51,1023,79,0.59,73,0,0,95,0
2017-01-04 3:00:00,254.83,1022,76,1,50,0,0,20,0
2017-01-04 4:00:00,254.83,1022,76,1,50,0,0,20,0
2017-01-04 5:00:00,256.45,1023,76,0.52,158,0,0,95,0
2017-01-04 6:00:00,256.98,1023,71,1,60,0,0,20,0
2017-01-04 7:00:00,256.85,1023,71,1,60,0,0,20,0
2017-01-04 8:00:00,251.22,1025,87,1.42,181,0,0,96,0
2017-01-04 9:00:00,251.36,1025,82,1,210,0,0,20,0
2017-01-04 10:00:00,250.16,1025,82,1,210,0,0,20,0
2017-01-04 11:00:00,249.71,1027,82,1.19,200,0,0,88,0
2017-01-04 12:00:00,250.53,1027,77,1,230,0,0,20,0
2017-01-04 13:00:00,250.49,1027,77,1,230,0,0,20,0
2017-01-04 14:00:00,248.89,1028,82,1.61,193,0,0,83,0
2017-01-04 15:00:00,248.31,1028,76,0,0,0,0,20,0
2017-01-04 16:00:00,247.89,1028,76,0,0,0,0,20,0
2017-01-04 17:00:00,246.19,1030,83,1.87,181,0,0,12,0
2017-01-04 18:00:00,246.33,1030,74,1,220,0,0,1,0
2017-01-04 19:00:00,245.09,1030,74,1,220,0,0,1,0
2017-01-04 20:00:00,244.89,1031,82,1.91,171,0,0,37,0
2017-01-04 21:00:00,246.18,1031,76,0,0,0,0,90,0
2017-01-04 22:00:00,245.84,1031,76,0,0,0,0,90,0
2017-01-04 23:00:00,246.02,1032,81,2.13,167,0,0,81,0
2017-01-05 0:00:00,247.26,1033,78,1,160,0,0,90,0
2017-01-05 1:00:00,247.71,1033,78,1,160,0,0,90,0
